iter,time,est_name,n_fe,dgp_name,n_obs,language
3,0.0730940000030387,pyfixest.feols (rust),3,simple,500000,python
1,,statsmodels.OLS,2,simple,500000,python
2,,statsmodels.OLS,2,simple,500000,python
3,,statsmodels.OLS,2,simple,500000,python
1,,statsmodels.OLS,3,simple,500000,python
2,,statsmodels.OLS,3,simple,500000,python
3,,statsmodels.OLS,3,simple,500000,python
1,0.0774168968200684,FixedEffectModels.reg,2,difficult,1000000,julia
2,0.087913990020752,FixedEffectModels.reg,2,difficult,1000000,julia
3,0.145627975463867,FixedEffectModels.reg,2,difficult,1000000,julia
1,2.92686915397644,FixedEffectModels.reg,3,difficult,1000000,julia
2,3.03992486000061,FixedEffectModels.reg,3,difficult,1000000,julia
3,3.0147180557251,FixedEffectModels.reg,3,difficult,1000000,julia
1,0.068943977355957,fixest::feols,2,difficult,1000000,r
2,0.0687520503997803,fixest::feols,2,difficult,1000000,r
3,0.0710489749908447,fixest::feols,2,difficult,1000000,r
1,6.52282285690308,fixest::feols,3,difficult,1000000,r
2,5.66141700744629,fixest::feols,3,difficult,1000000,r
3,5.76800990104675,fixest::feols,3,difficult,1000000,r
1,0.370615005493164,lfe::felm,2,difficult,1000000,r
2,0.305097103118896,lfe::felm,2,difficult,1000000,r
3,0.360535144805908,lfe::felm,2,difficult,1000000,r
1,,lfe::felm,3,difficult,1000000,r
2,,lfe::felm,3,difficult,1000000,r
3,,lfe::felm,3,difficult,1000000,r
1,1.00389945799907,linearmodels.AbsorbingLS,2,difficult,1000000,python
2,0.999506709002162,linearmodels.AbsorbingLS,2,difficult,1000000,python
3,0.999891875002504,linearmodels.AbsorbingLS,2,difficult,1000000,python
1,,linearmodels.AbsorbingLS,3,difficult,1000000,python
2,,linearmodels.AbsorbingLS,3,difficult,1000000,python
3,,linearmodels.AbsorbingLS,3,difficult,1000000,python
1,1.7904212909998,pyfixest.feols (numba),2,difficult,1000000,python
2,1.74858133299858,pyfixest.feols (numba),2,difficult,1000000,python
3,1.74943766599972,pyfixest.feols (numba),2,difficult,1000000,python
1,42.2178656659999,pyfixest.feols (numba),3,difficult,1000000,python
2,31.5864425420004,pyfixest.feols (numba),3,difficult,1000000,python
3,27.9712765409968,pyfixest.feols (numba),3,difficult,1000000,python
1,0.972526917001232,pyfixest.feols (rust),2,difficult,1000000,python
2,0.938563332998456,pyfixest.feols (rust),2,difficult,1000000,python
3,0.931713875001151,pyfixest.feols (rust),2,difficult,1000000,python
1,2.77979687499828,pyfixest.feols (rust),3,difficult,1000000,python
2,4.05560799999876,pyfixest.feols (rust),3,difficult,1000000,python
3,4.03896375000113,pyfixest.feols (rust),3,difficult,1000000,python
1,,statsmodels.OLS,2,difficult,1000000,python
2,,statsmodels.OLS,2,difficult,1000000,python
3,,statsmodels.OLS,2,difficult,1000000,python
1,,statsmodels.OLS,3,difficult,1000000,python
2,,statsmodels.OLS,3,difficult,1000000,python
3,,statsmodels.OLS,3,difficult,1000000,python
1,0.0758368968963623,FixedEffectModels.reg,2,simple,1000000,julia
2,0.0780689716339111,FixedEffectModels.reg,2,simple,1000000,julia
3,0.07417893409729,FixedEffectModels.reg,2,simple,1000000,julia
1,0.175578117370605,FixedEffectModels.reg,3,simple,1000000,julia
2,0.168621063232422,FixedEffectModels.reg,3,simple,1000000,julia
3,0.170279026031494,FixedEffectModels.reg,3,simple,1000000,julia
1,0.0720560550689697,fixest::feols,2,simple,1000000,r
2,0.0682580471038818,fixest::feols,2,simple,1000000,r
3,0.0706210136413574,fixest::feols,2,simple,1000000,r
1,0.125020980834961,fixest::feols,3,simple,1000000,r
2,0.121981859207153,fixest::feols,3,simple,1000000,r
3,0.124041080474854,fixest::feols,3,simple,1000000,r
1,0.367762088775635,lfe::felm,2,simple,1000000,r
2,0.374788045883179,lfe::felm,2,simple,1000000,r
3,0.376435995101929,lfe::felm,2,simple,1000000,r
1,0.509517908096313,lfe::felm,3,simple,1000000,r
2,0.447870969772339,lfe::felm,3,simple,1000000,r
3,0.444116115570068,lfe::felm,3,simple,1000000,r
1,0.972857875000045,linearmodels.AbsorbingLS,2,simple,1000000,python
2,0.978210875000514,linearmodels.AbsorbingLS,2,simple,1000000,python
3,0.97940670800017,linearmodels.AbsorbingLS,2,simple,1000000,python
1,1.95106408300126,linearmodels.AbsorbingLS,3,simple,1000000,python
2,1.94795166699987,linearmodels.AbsorbingLS,3,simple,1000000,python
3,1.95173395800157,linearmodels.AbsorbingLS,3,simple,1000000,python
1,0.079391957999178,pyfixest.feols (numba),2,simple,1000000,python
2,0.0686067920032656,pyfixest.feols (numba),2,simple,1000000,python
3,0.0719598750001751,pyfixest.feols (numba),2,simple,1000000,python
1,0.118890375000774,pyfixest.feols (numba),3,simple,1000000,python
2,0.445321250001143,pyfixest.feols (numba),3,simple,1000000,python
3,0.130650834002154,pyfixest.feols (numba),3,simple,1000000,python
1,0.0730334580002818,pyfixest.feols (rust),2,simple,1000000,python
2,0.10806358300033,pyfixest.feols (rust),2,simple,1000000,python
3,0.0933874160000414,pyfixest.feols (rust),2,simple,1000000,python
1,0.129177167000307,pyfixest.feols (rust),3,simple,1000000,python
2,0.144505542000843,pyfixest.feols (rust),3,simple,1000000,python
3,0.13606499999878,pyfixest.feols (rust),3,simple,1000000,python
1,,statsmodels.OLS,2,simple,1000000,python
2,,statsmodels.OLS,2,simple,1000000,python
3,,statsmodels.OLS,2,simple,1000000,python
1,,statsmodels.OLS,3,simple,1000000,python
2,,statsmodels.OLS,3,simple,1000000,python
3,,statsmodels.OLS,3,simple,1000000,python
1,0.235068082809448,FixedEffectModels.reg,2,difficult,2000000,julia
2,0.241909027099609,FixedEffectModels.reg,2,difficult,2000000,julia
3,0.243330001831055,FixedEffectModels.reg,2,difficult,2000000,julia
1,5.2939989566803,FixedEffectModels.reg,3,difficult,2000000,julia
2,5.33926892280579,FixedEffectModels.reg,3,difficult,2000000,julia
3,5.98807096481323,FixedEffectModels.reg,3,difficult,2000000,julia
1,0.140308141708374,fixest::feols,2,difficult,2000000,r
2,0.140326023101807,fixest::feols,2,difficult,2000000,r
3,0.137065887451172,fixest::feols,2,difficult,2000000,r
1,9.97236704826355,fixest::feols,3,difficult,2000000,r
2,10.7304780483246,fixest::feols,3,difficult,2000000,r
3,12.4849100112915,fixest::feols,3,difficult,2000000,r
1,0.623853921890259,lfe::felm,2,difficult,2000000,r
2,0.75068998336792,lfe::felm,2,difficult,2000000,r
3,0.631291151046753,lfe::felm,2,difficult,2000000,r
1,,lfe::felm,3,difficult,2000000,r
2,,lfe::felm,3,difficult,2000000,r
3,,lfe::felm,3,difficult,2000000,r
1,2.02322191599887,linearmodels.AbsorbingLS,2,difficult,2000000,python
2,2.02208854200217,linearmodels.AbsorbingLS,2,difficult,2000000,python
3,2.0075426250005,linearmodels.AbsorbingLS,2,difficult,2000000,python
1,,linearmodels.AbsorbingLS,3,difficult,2000000,python
